Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2019-09-12,Seated Calf Raise Machine,Calfs,20.0,17,,,,""
2019-09-12,Seated Calf Raise Machine,Calfs,20.0,17,,,,""
2019-09-12,Seated Calf Raise Machine,Calfs,20.0,15,,,,""
2019-09-12,Romanian Deadlift,Legs,25.0,8,,,,""
2019-09-12,Romanian Deadlift,Legs,25.0,8,,,,""
2019-09-12,Romanian Deadlift,Legs,30.0,24,,,,"Rest pause"
2019-09-12,Neutral Grip Lat Pulldown,Back,55.0,8,,,,""
2019-09-12,Neutral Grip Lat Pulldown,Back,55.0,8,,,,""
2019-09-12,Neutral Grip Lat Pulldown,Back,65.0,16,,,,""
2019-09-12,Barbell Shrug,Back,10.0,15,,,,""
2019-09-12,Barbell Shrug,Back,10.0,15,,,,""
2019-09-12,Barbell Shrug,Back,10.0,22,,,,""
2019-09-12,Rear Delt Machine Fly,Shoulders,45.0,8,,,,""
2019-09-12,Rear Delt Machine Fly,Shoulders,45.0,11,,,,""
2019-09-12,Rear Delt Machine Fly,Shoulders,50.0,6,,,,"110- 6, 77- 8, 44-11 all pounds"
2019-09-12,Reverse Barbell Curl,Biceps,10.0,8,,,,""
2019-09-12,EZ-Bar Curl,Biceps,20.0,5,,,,""
2019-09-12,EZ-Bar Curl,Biceps,20.0,4,,,,""
2019-09-12,EZ-Bar Curl,Biceps,20.0,10,,,,""
2019-09-12,Reverse Barbell Curl,Biceps,10.0,10,,,,""
2019-09-12,Reverse Barbell Curl,Biceps,10.0,9,,,,""
2019-09-12,Treadmill,Cardio,,,1.78,km,0:15:00,""
2019-09-13,Glute Bridge,Legs,0.0,20,,,,""
2019-09-13,Glute Bridge,Legs,0.0,20,,,,""
2019-09-13,Glute Bridge,Legs,0.0,20,,,,""
2019-09-13,Barbell Front Squat,Legs,40.0,8,,,,""
2019-09-13,Barbell Front Squat,Legs,40.0,8,,,,""
2019-09-13,Barbell Front Squat,Legs,45.0,13,,,,"6,4,3"
2019-09-13,Flat Dumbbell Bench Press,Chest,30.0,8,,,,""
2019-09-13,Flat Dumbbell Bench Press,Chest,30.0,8,,,,""
2019-09-13,Flat Dumbbell Bench Press,Chest,30.0,11,,,,"5,3,3"
2019-09-13,One-Arm Standing Dumbbell Press,Shoulders,12.5,12,,,,""
2019-09-13,One-Arm Standing Dumbbell Press,Shoulders,15.0,9,,,,""
2019-09-13,One-Arm Standing Dumbbell Press,Shoulders,17.5,11,,,,"6,3,2"
2019-09-13,Lateral Machine Raise,Shoulders,20.0,13,,,,""
2019-09-13,Lateral Machine Raise,Shoulders,20.0,12,,,,""
2019-09-13,Lateral Machine Raise,Shoulders,20.0,11,,,,"44-12, 33-5, 22- 6"
2019-09-13,Lying Triceps Extension,Triceps,20.0,12,,,,""
2019-09-13,Lying Triceps Extension,Triceps,25.0,9,,,,""
2019-09-13,Lying Triceps Extension,Triceps,25.0,5,,,,""
2019-09-13,Treadmill,Cardio,,,2.28,km,0:20:00,""
2019-09-14,Seated Calf Raise Machine,Calfs,20.0,18,,,,""
2019-09-14,Seated Calf Raise Machine,Calfs,20.0,20,,,,""
2019-09-14,Seated Calf Raise Machine,Calfs,20.0,33,,,,"18,8,7"
2019-09-14,Seated Leg Curl Machine,Hamstring,25.0,11,,,,""
2019-09-14,Seated Leg Curl Machine,Hamstring,25.0,14,,,,""
2019-09-14,Seated Leg Curl Machine,Hamstring,30.0,8,,,,"66-8,55-7,44-10"
2019-09-14,Bent Over Dumbbell Row,Back,30.0,8,,,,""
2019-09-14,Bent Over Dumbbell Row,Back,30.0,8,,,,""
2019-09-14,Bent Over Dumbbell Row,Back,30.0,14,,,,"8,3,3"
2019-09-14,Dorian Row,Back,30.0,12,,,,""
2019-09-14,Dorian Row,Back,30.0,12,,,,""
2019-09-14,Dorian Row,Back,30.0,6,,,,""
2019-09-14,Barbell Shrug,Back,10.0,15,,,,""
2019-09-14,Barbell Shrug,Back,10.0,15,,,,""
2019-09-14,Barbell Shrug,Back,10.0,37,,,,""
2019-09-14,Reverse Barbell Curl,Biceps,20.0,6,,,,""
2019-09-14,Reverse Barbell Curl,Biceps,10.0,10,,,,""
